NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,last review safra
2 Bedroom Apt.-30 secs from C train,68126726606,verified,Stephen,Brooklyn,Bedford-Stuyvesant,40.67831,-73.92146,United States,US,True,flexible,Entire home/apt,2007.0,772.0,154.0,30,95,2021-10-31,1,3.0,1.0,0,,2110
Trendy Apt in Historic Brooklyn Heights,58409736418,unconfirmed,John,Brooklyn,Brooklyn Heights,40.69593,-73.99662,United States,US,True,strict,Entire home/apt,2003.0,200.0,40.0,30,35,2021-10-31,0,3.0,1.0,13,,2110
Tranquil....Serene.....Steps from the Beach,17377743811,verified,Ola,Queens,Arverne,40.5928,-73.78977,United States,US,True,flexible,Entire home/apt,2016.0,368.0,74.0,7,27,2021-10-31,0,3.0,3.0,185,,2110
"One bedroom, spacious in 3 bedrooms 2 baths",87218886204,verified,Andrea,Queens,Kew Gardens Hills,40.72052,-73.81048,United States,US,False,moderate,Private room,2010.0,264.0,53.0,6,11,2021-10-31,0,3.0,2.0,70,,2110
Very comfy and only minutes to JFK and famous mall,83432594183,unconfirmed,Hannah,Queens,Rosedale,40.65191,-73.73882,United States,US,True,strict,Private room,2014.0,558.0,112.0,30,66,2021-10-31,1,5.0,2.0,72,,2110
Blu Suite Harlem NYC Priv Brownstone home 1st Fl,35387447441,unconfirmed,Ephraim,Manhattan,Harlem,40.81561,-73.94516,United States,US,True,flexible,Entire home/apt,2009.0,1054.0,211.0,5,89,2021-10-31,1,5.0,4.0,0,,2110
Luxurious 4 Bedroom 2.5 Bath Duplex in Brooklyn,58348195843,unconfirmed,Charmine,Brooklyn,Crown Heights,40.6715,-73.93644,United States,US,False,strict,Entire home/apt,2007.0,158.0,32.0,4,26,2021-10-31,0,4.0,3.0,77,,2110
Updated 1 Bedroom Best Location Modern Finishes,21311755817,verified,Stay With Vibe,Manhattan,Upper East Side,40.77174,-73.96275,United States,US,True,strict,Entire home/apt,2014.0,1172.0,234.0,30,11,2021-10-31,0,4.0,108.0,186,,2110
Artful loft ★ NYC ★ Chelsea,69854763792,unconfirmed,★TheLocalApple★,Manhattan,Chelsea,40.74278,-73.99358,United States,US,False,strict,Entire home/apt,2004.0,172.0,34.0,30,9,2021-10-31,0,5.0,1.0,68,,2110
Lower East Side Studio Escape #4,80361106550,unconfirmed,Karen,Manhattan,Lower East Side,40.72185,-73.99198,United States,US,False,moderate,Entire home/apt,2010.0,176.0,35.0,30,13,2021-10-31,0,4.0,208.0,309,,2110
Cozy artistic 3brm /Belmont track/ casino/ etc,77397554826,unconfirmed,Adeola,Queens,St. Albans,40.70037,-73.74907,United States,US,False,moderate,Entire home/apt,2022.0,568.0,114.0,1,68,2021-10-31,1,2.0,3.0,303,,2110
Apartamento muy acogedor en Manhattan,2915026048,verified,Nancy,Manhattan,Washington Heights,40.85289,-73.93798,United States,US,True,strict,Entire home/apt,2020.0,341.0,68.0,30,41,2021-10-31,0,4.0,1.0,0,,2110
Private Bedroom. Jungle Apartment,22669789406,verified,Oscar,Queens,Ridgewood,40.70065,-73.90352,United States,US,False,moderate,Private room,2008.0,1030.0,206.0,2,24,2021-10-31,0,4.0,2.0,39,,2110
Corporate Studio Midtown East,8088562426,unconfirmed,Stay With Vibe,Manhattan,Midtown,40.75394,-73.96534,United States,US,True,flexible,Entire home/apt,2021.0,496.0,99.0,30,12,2021-10-31,0,5.0,108.0,254,,2110
The High Tide Studio #4,23012359864,verified,Adam,Queens,Rockaway Beach,40.58593,-73.82036,United States,US,False,strict,Entire home/apt,2020.0,1068.0,214.0,2,101,2021-10-31,2,2.0,9.0,307,,2110
Serene 1-bedroom in prime Midtown,85316436147,unconfirmed,Maggie,Manhattan,Midtown,40.75526,-73.96588,United States,US,False,strict,Entire home/apt,2020.0,360.0,72.0,30,10,2021-10-31,0,5.0,1.0,88,,2110
Nice one bedroom near United Nations,62532800811,unconfirmed,Stanley,Manhattan,Murray Hill,40.7483,-73.9775,United States,US,True,strict,Entire home/apt,2011.0,1175.0,235.0,30,2,2021-10-31,0,3.0,83.0,365,,2110
"Cozy room near subway , LGA airport n manhattan",80009852489,unconfirmed,Robertina,Queens,Jackson Heights,40.75179,-73.88517,United States,US,True,flexible,Private room,2003.0,54.0,11.0,2,78,2021-10-31,1,2.0,4.0,14,,2110
King Hotel Room at Wyndham Midtown 45 Resort,79868219007,verified,Joy,Manhattan,Midtown,40.75322,-73.97186,United States,US,False,flexible,Private room,2003.0,924.0,185.0,3,7,2021-10-31,0,3.0,2.0,3,,2110
New York Multi-unit building,12473133915,unconfirmed,Aracely,Queens,Jackson Heights,40.75446,-73.86927,United States,US,True,moderate,Private room,2018.0,566.0,113.0,2,46,2021-10-31,1,2.0,2.0,23,,2110
"San Carlos Hotel Deluxe Rm - 2 Queen Bds, up to 4.",95629395252,unconfirmed,Fabio,Manhattan,Midtown,40.75591,-73.97157,United States,US,False,strict,Private room,2009.0,539.0,108.0,1,5,2021-10-31,0,3.0,7.0,291,,2110
Cozy  Studio Apartment,77628132481,unconfirmed,Aimee,Brooklyn,Coney Island,40.57389,-73.9882,United States,US,False,strict,Entire home/apt,2003.0,676.0,135.0,2,2,2021-10-31,0,4.0,1.0,153,,2110
"Hollis Cove - Queens 1BR Flat Near LGA & JFK, SJU",18709945227,unconfirmed,Molly & Justin,Queens,Hollis,40.7152,-73.76813,United States,US,True,strict,Entire home/apt,2006.0,386.0,77.0,3,86,2021-10-31,2,5.0,1.0,3,,2110
Amazingly located private room 2 min to subway!,33074869402,unconfirmed,Kaz,Queens,Woodside,40.74436,-73.90178,United States,US,False,moderate,Private room,2009.0,639.0,128.0,30,2,2021-10-31,0,4.0,161.0,289,,2110
The Zen Home,58565169141,unconfirmed,Radilena,Queens,Astoria,40.76628,-73.91082,United States,US,True,strict,Private room,2016.0,994.0,199.0,1,20,2021-10-31,0,3.0,1.0,0,,2110
Villa in Astoria,40518966758,verified,Omar,Queens,Astoria,40.76986,-73.93114,United States,US,True,moderate,Private room,2009.0,87.0,17.0,30,6,2021-10-31,0,4.0,2.0,31,,2110
"Cozy UWS Studio w/ Gym, Laundry, Rooftop #6106",58125729852,unconfirmed,MyNyHousing,Manhattan,Upper West Side,40.78939,-73.97218,United States,US,False,moderate,Entire home/apt,2012.0,935.0,187.0,30,10,2021-10-31,0,2.0,48.0,156,,2110
"Modern, Spacious 2 BR Apartment",13840424649,unconfirmed,Mo,Queens,Queens Village,40.72034,-73.73496,United States,US,False,flexible,Entire home/apt,2020.0,1090.0,218.0,30,24,2021-10-31,0,5.0,3.0,285,,2110
Friendly host,48629446389,unconfirmed,Temoh,Manhattan,Harlem,40.82254,-73.93926,United States,US,False,flexible,Private room,2014.0,770.0,154.0,2,33,2021-10-31,0,3.0,1.0,0,,2110
"Gorgeous Midtown East 1 Bed w/ Gym, Rooftop #6125",4946528524,unconfirmed,MyNyHousing,Manhattan,Murray Hill,40.74547,-73.97605,United States,US,False,strict,Entire home/apt,2005.0,468.0,94.0,30,7,2021-10-31,0,2.0,48.0,248,,2110
Brooklyn Loft with great train views,76182399050,verified,Derek,Brooklyn,Williamsburg,40.71068,-73.9609,United States,US,True,moderate,Entire home/apt,2007.0,128.0,26.0,14,5,2021-10-31,0,3.0,1.0,0,,2110
"Private 2BR, grandest parlor suite by historic BAM",28476099504,unconfirmed,Chieko,Brooklyn,Fort Greene,40.686508,-73.977104,United States,US,False,strict,Entire home/apt,2020.0,769.0,154.0,30,15,2021-10-31,0,5.0,2.0,365,,2110
A small space in a haystack,31391041659,unconfirmed,Dionne,Brooklyn,Cypress Hills,40.68672,-73.87607,United States,US,False,flexible,Private room,2005.0,1129.0,226.0,2,22,2021-10-31,0,5.0,2.0,88,,2110
The Residences at W New York - Downtown - Apt 27H,72373625407,verified,Zeus,Manhattan,Financial District,40.70895,-74.01282,United States,US,True,strict,Entire home/apt,2011.0,1013.0,203.0,30,2,2021-10-31,0,2.0,34.0,363,,2110
A cozy and serene private room just for you.,15461402615,unconfirmed,Conny,Bronx,Concourse Village,40.82992,-73.91626,United States,US,False,flexible,Private room,2011.0,87.0,17.0,3,32,2021-10-31,1,3.0,1.0,42,,2110
"Extra clean, Beautiful, & Naturally lit 💎 in BK",15347871480,unconfirmed,Godlove,Brooklyn,Flatbush,40.64379,-73.95666,United States,US,True,flexible,Entire home/apt,2006.0,1000.0,200.0,30,9,2021-10-31,0,2.0,1.0,180,,2110
5 mins to NYC Amaze City View Luxury King Bedroom,24315485637,unconfirmed,Joan,Queens,Long Island City,40.75047,-73.93888,United States,US,False,flexible,Private room,2018.0,903.0,181.0,14,5,2021-10-31,0,5.0,3.0,64,,2110
2 bedroom ❤💐Apart 3 min  walk to LAG &CITY FILED,93746717148,unconfirmed,Abeer,Queens,East Elmhurst,40.76207,-73.85989,United States,US,False,strict,Entire home/apt,2011.0,208.0,42.0,5,8,2021-10-31,0,4.0,7.0,364,,2110
"Zen 3 bedrooms 2 full bathrooms , great location",30274248431,unconfirmed,Olga,Brooklyn,Sheepshead Bay,40.58542,-73.9352,United States,US,False,flexible,Entire home/apt,2003.0,1033.0,207.0,30,1,2021-10-31,0,4.0,3.0,88,,2110
Bold and Beautiful Brooklyn Brownstone,45140337253,verified,Andi,Brooklyn,Greenpoint,40.72749,-73.95069,United States,US,True,flexible,Entire home/apt,2019.0,360.0,72.0,3,4,2021-10-31,0,2.0,1.0,85,,2110
Artsy Getaway,51806695543,unconfirmed,Marishka,Queens,Springfield Gardens,40.66036,-73.7563,United States,US,True,moderate,Entire home/apt,2020.0,857.0,171.0,3,7,2021-10-31,0,4.0,1.0,364,,2110
Bedroom with a view.Times Square area.,74748463926,verified,Lourdes,Manhattan,Hell's Kitchen,40.76224,-73.98886,United States,US,True,flexible,Private room,2005.0,998.0,200.0,30,1,2021-10-31,0,3.0,5.0,58,,2110
Traveler's bed: cozy private room in family home,53338419619,unconfirmed,Anna,Brooklyn,Prospect-Lefferts Gardens,40.66007,-73.95372,United States,US,True,moderate,Private room,2007.0,1048.0,210.0,30,3,2021-10-31,0,3.0,1.0,305,,2110
Cozy Retreat away from home.,62385579555,verified,Fabi,Queens,Queens Village,40.728,-73.74948,United States,US,False,strict,Entire home/apt,2014.0,538.0,108.0,3,25,2021-10-31,1,4.0,2.0,87,,2110
Entire 2 bedroom Condo w/3 mins from Subway,74025671179,unconfirmed,Intown Luxury,Bronx,Mount Hope,40.8501,-73.90125,United States,US,True,flexible,Entire home/apt,2013.0,240.0,48.0,2,3,2021-10-31,0,2.0,2.0,172,,2110
New apartment in Bushwick 2020,3194673168,unconfirmed,Momoyo,Brooklyn,Bushwick,40.68556,-73.91331,United States,US,False,flexible,Private room,2022.0,1188.0,238.0,30,2,2021-10-31,0,2.0,126.0,31,,2110
Amazing UES 1 Bed w/ Laundry and Doorman #6132,49463068911,unconfirmed,MyNyHousing,Manhattan,Upper East Side,40.77316,-73.94999,United States,US,False,flexible,Entire home/apt,2016.0,356.0,71.0,30,4,2021-10-31,0,2.0,48.0,364,,2110
Comfy Private Bedroom,62078537112,verified,Antoine,Queens,Springfield Gardens,40.66526,-73.75673,United States,US,True,moderate,Private room,2018.0,829.0,166.0,2,1,2021-10-31,0,4.0,3.0,0,,2110
Astoria most loved area in Queens : Large Bedroom,71395187568,unconfirmed,Momoyo,Queens,Astoria,40.7617,-73.91887,United States,US,True,moderate,Private room,2003.0,302.0,60.0,30,1,2021-10-31,0,5.0,126.0,51,,2110
Artistic and clean studio near Union Square,66112702787,verified,Ella,Manhattan,Gramercy,40.73315,-73.98662,United States,US,False,moderate,Entire home/apt,2006.0,238.0,48.0,30,9,2021-10-31,0,3.0,2.0,235,,2110
"Awesome Access! to station, 2min/5 line u can use♪",38131660027,verified,Momoyo,Queens,Woodside,40.74445,-73.89272,United States,US,True,flexible,Private room,2019.0,1161.0,232.0,30,1,2021-10-31,0,2.0,126.0,57,,2110
Beautiful apartment with one bedroom in Manhattan,42315640113,unconfirmed,Britt,Manhattan,East Harlem,40.79077,-73.93941,United States,US,False,flexible,Entire home/apt,2014.0,172.0,34.0,2,6,2021-10-31,0,5.0,1.0,36,,2110
Easy access to Manhattan : Nice Condition room,12837631684,unconfirmed,Soya,Queens,Jackson Heights,40.75268,-73.87685,United States,US,True,flexible,Private room,2011.0,890.0,178.0,30,3,2021-10-31,0,5.0,171.0,54,,2110
JFK Airport Gorgeous 2 Bedroom Apartment.,69968281233,verified,Selena,Queens,Springfield Gardens,40.66178,-73.77274,United States,US,False,strict,Entire home/apt,2015.0,180.0,36.0,3,9,2021-10-31,1,2.0,1.0,93,,2110
MINI PALACE! Artistic apartment in CARROLL GARDENS,61717672084,unconfirmed,Patrick,Brooklyn,Carroll Gardens,40.68192,-73.99712,United States,US,False,flexible,Entire home/apt,2016.0,298.0,60.0,30,2,2021-10-31,0,3.0,1.0,115,,2110
Garden condo w patio in New York artistic Bushwick,3882964207,unconfirmed,Alex,Brooklyn,Bushwick,40.69605,-73.9289,United States,US,False,moderate,Entire home/apt,2016.0,958.0,192.0,30,3,2021-10-31,0,4.0,2.0,299,,2110
407 West 51-Furnished 1 bedroom Apt.,14282558785,verified,Jeniffer,Manhattan,Hell's Kitchen,40.76344,-73.98946,United States,US,False,moderate,Entire home/apt,2020.0,320.0,64.0,30,4,2021-10-31,0,4.0,186.0,296,,2110
138 Bowery-Beautiful 1 Bedroom Apartment,91832742752,unconfirmed,Jeniffer,Manhattan,Chinatown,40.7181,-73.99407,United States,US,False,moderate,Entire home/apt,2008.0,334.0,67.0,30,2,2021-10-31,0,2.0,186.0,309,,2110
Boho Beach Pad on 125th,61574958324,verified,Andrew,Queens,Belle Harbor,40.57951,-73.84689,United States,US,True,flexible,Entire home/apt,2010.0,938.0,188.0,28,8,2021-10-31,0,2.0,1.0,305,,2110
20 M FROM THE AIRPORT. My House is tu casa =),56127364775,verified,Manuel,Queens,Ridgewood,40.71079,-73.91806,United States,US,True,moderate,Private room,2011.0,546.0,109.0,3,17,2021-10-31,1,4.0,2.0,329,,2110
Gorgeous 1BR Brooklyn Heights Apartment,4390137652,unconfirmed,Georgi,Brooklyn,Brooklyn Heights,40.69333,-73.99671,United States,US,True,moderate,Entire home/apt,2020.0,1162.0,232.0,30,2,2021-10-31,0,4.0,1.0,0,,2110
Apartment with a private entrances close to train,55446900438,unconfirmed,Benavides,Bronx,Allerton,40.86655,-73.8521,United States,US,True,flexible,Entire home/apt,2004.0,900.0,180.0,4,9,2021-10-31,0,5.0,1.0,345,,2110
3br LUXURY Duplex BRAND NEW ~W&D~Elevator Building,31167176918,unconfirmed,Jt,Manhattan,Upper East Side,40.77164,-73.95682,United States,US,True,moderate,Entire home/apt,2011.0,821.0,164.0,30,2,2021-10-31,0,5.0,59.0,145,,2110
Great apartment on the UES,26382463703,verified,Kristin,Manhattan,Upper East Side,40.77725,-73.95461,United States,US,True,strict,Entire home/apt,2017.0,132.0,26.0,31,1,2021-10-31,0,2.0,1.0,67,,2110
NEW Bushwick room by the park 3FL -#136,3032170792,verified,Eugene,Brooklyn,Bushwick,40.69321,-73.91189,United States,US,False,flexible,Private room,2007.0,801.0,160.0,90,1,2021-10-31,0,5.0,218.0,308,,2110
#5 Bedroom with Private Bathroom,58243359100,verified,Gelen,Queens,Springfield Gardens,40.66409,-73.75417,United States,US,False,strict,Private room,2017.0,819.0,164.0,3,9,2021-10-31,0,2.0,5.0,365,,2110
East River View- King Bed Hotel Room,38737682673,verified,Justin,Manhattan,Financial District,40.70653,-74.00379,United States,US,False,flexible,Private room,2014.0,732.0,146.0,1,9,2021-10-31,0,5.0,102.0,22,,2110
Updated 2 Bedroom Crown Heights Brooklyn,25708988318,verified,Sue,Brooklyn,Crown Heights,40.66715,-73.9499,United States,US,False,strict,Entire home/apt,2019.0,596.0,119.0,4,2,2021-10-31,0,2.0,2.0,0,,2110
Lovely midtown one bedroom,81525949906,unconfirmed,Stanley,Manhattan,Murray Hill,40.7499,-73.97545,United States,US,True,flexible,Entire home/apt,2017.0,1010.0,202.0,30,3,2021-10-31,0,2.0,83.0,265,,2110
Water View King Bed Hotel Room,72283292490,unconfirmed,Justin,Manhattan,Financial District,40.70446,-74.00544,United States,US,True,strict,Private room,2012.0,1079.0,216.0,1,7,2021-10-31,0,3.0,102.0,53,,2110
Better stay close to everything you need!!,91414856792,unconfirmed,Paula,Queens,Corona,40.74618,-73.86786,United States,US,False,flexible,Private room,2020.0,570.0,114.0,1,5,2021-10-31,0,3.0,1.0,247,,2110
Queen Suite at Time SQ Boutique Hotel,88494072162,verified,Blake,Manhattan,Hell's Kitchen,40.76161,-73.98667,United States,US,True,flexible,Private room,2008.0,1113.0,223.0,1,8,2021-10-31,0,5.0,66.0,364,,2110
Beautiful luxuries 2bdr apt in central bed-stuy,36184625140,unconfirmed,Casey,Brooklyn,Crown Heights,40.6783,-73.95066,United States,US,False,flexible,Entire home/apt,2011.0,1088.0,218.0,30,2,2021-10-31,0,2.0,12.0,365,,2110
LARGE ROOM - WASHER DRYER - MONTHLY RENTAL,89194179589,unconfirmed,Ozzy,Manhattan,Harlem,40.82255,-73.94684,United States,US,False,moderate,Private room,2020.0,981.0,196.0,30,3,2021-10-31,0,2.0,4.0,276,,2110
Modern spacious 1 bedroom,58039393020,unconfirmed,Tatia,Bronx,Highbridge,40.82979,-73.92907,United States,US,False,moderate,Entire home/apt,2009.0,1138.0,228.0,28,2,2021-10-31,0,3.0,1.0,364,,2110
Gorgeous Loft On Brooklyn's Most Iconic Street,79020051676,verified,Anna,Brooklyn,DUMBO,40.70448,-73.99052,United States,US,True,moderate,Entire home/apt,2016.0,420.0,84.0,30,1,2021-10-31,0,2.0,1.0,275,,2110
New York - Queen Room,66983488719,verified,Kristina,Manhattan,Hell's Kitchen,40.75535,-73.99563,United States,US,True,moderate,Private room,2016.0,406.0,81.0,5,5,2021-10-31,0,5.0,67.0,354,,2110
2 br loft entire floor best location in Manhattan,27954936038,unconfirmed,Matthew,Manhattan,Midtown,40.74335,-73.98325,United States,US,False,moderate,Entire home/apt,2010.0,432.0,86.0,30,1,2021-10-31,0,2.0,2.0,323,,2110
Luxurious 2-bedroom residential home with a deck.,80472251276,unconfirmed,Paul,Queens,Flushing,40.74087,-73.80809,United States,US,False,strict,Entire home/apt,2011.0,133.0,27.0,2,17,2021-10-31,1,4.0,1.0,0,,2110
Welcome to the Fern Garden Retreat LLC,51022096047,unconfirmed,Regina,Brooklyn,Bedford-Stuyvesant,40.68553,-73.92733,United States,US,True,moderate,Private room,2018.0,733.0,147.0,7,1,2021-10-31,0,4.0,1.0,364,,2110
A place to stay recovering from major surgery.,43333032399,unconfirmed,Lourdes,Queens,Holliswood,40.72358,-73.76821,United States,US,False,moderate,Entire home/apt,2013.0,128.0,26.0,30,2,2021-10-31,0,4.0,1.0,364,,2110
Fully furnished one bedroom by Columbia Parlor,42727628761,unconfirmed,Harton,Manhattan,Morningside Heights,40.80217,-73.9594,United States,US,True,moderate,Entire home/apt,2022.0,1028.0,206.0,30,2,2021-10-31,0,2.0,7.0,182,,2110
Private Duplex Apartment in the heart of Brooklyn,92439282995,verified,Nyree,Brooklyn,Bedford-Stuyvesant,40.67795,-73.93681,United States,US,False,moderate,Private room,2021.0,1009.0,202.0,2,6,2021-10-31,0,4.0,1.0,0,,2110
"Modern room with TV, private bathroom and balcony",50332402972,verified,Jazmine,Brooklyn,East New York,40.66322,-73.8795,United States,US,True,moderate,Private room,2006.0,724.0,145.0,1,4,2021-10-31,0,4.0,1.0,365,,2110
adorable studio apartment.,57270796552,verified,Sarita,Queens,Sunnyside,40.73545,-73.92166,United States,US,False,moderate,Entire home/apt,2015.0,967.0,193.0,1,6,2021-10-31,1,4.0,1.0,90,,2110
A Place of Serenity in Bed Stuy,65496519658,verified,Jerrell,Brooklyn,Bedford-Stuyvesant,40.69258,-73.93533,United States,US,True,flexible,Private room,2020.0,398.0,80.0,30,1,2021-10-31,0,4.0,2.0,306,,2110
"Lovely, Quiet Garden Apartment in Park Slope",86460197865,verified,Karen,Brooklyn,Park Slope,40.6743,-73.98095,United States,US,True,flexible,Entire home/apt,2013.0,1094.0,219.0,30,1,2021-10-31,0,4.0,1.0,155,,2110
"Large room, Hudson Yards, 61F4",17692563653,unconfirmed,Hudson,Manhattan,Hell's Kitchen,40.75447,-73.998,United States,US,True,strict,Private room,2014.0,232.0,46.0,30,1,2021-10-31,0,5.0,22.0,180,,2110
Bright & Airy Florist Apt - vaccinated,55808489830,verified,Melissa,Brooklyn,Crown Heights,40.672,-73.94715,United States,US,False,strict,Private room,2016.0,1021.0,204.0,4,2,2021-10-31,0,4.0,1.0,33,,2110
Modern Furnished in the heart of Chelsea #6150,39220854896,verified,MyNyHousing,Manhattan,Chelsea,40.73935,-73.99836,United States,US,False,moderate,Entire home/apt,2022.0,69.0,14.0,30,1,2021-10-31,0,3.0,48.0,278,,2110
1 bedroom residential home with free parking,50334264556,unconfirmed,Linda,Queens,Long Island City,40.76216,-73.92994,United States,US,False,moderate,Private room,2015.0,741.0,148.0,1,3,2021-10-31,0,3.0,1.0,179,,2110
♔ Private Bedroom Near Subway/Pratt/Barclay,65768716992,verified,Sukhjit,Brooklyn,Bedford-Stuyvesant,40.68565,-73.95578,United States,US,True,moderate,Private room,2007.0,331.0,66.0,5,1,2021-10-31,0,2.0,10.0,365,,2110
Oasis Haven,14785123826,verified,Jay,Bronx,Mott Haven,40.80869,-73.91969,United States,US,False,flexible,Entire home/apt,2004.0,820.0,164.0,30,2,2021-10-31,0,4.0,2.0,339,,2110
Private Room in lovely 2 bedrooms apartment,73558838584,verified,Fabiola,Brooklyn,Crown Heights,40.66571,-73.95009,United States,US,False,flexible,Private room,2017.0,495.0,99.0,3,2,2021-10-31,0,3.0,1.0,171,,2110
